departamento,provincia,anio,longitud,latitud,NDVI,SAVI,EVI,NDMI,precipitacion_mm,temperatura_c,altitud_m
Puno,Azángaro,2020.0,-70.27969625309076,-15.033306279740193,0.25716555,0.16599254,0.15580635,-0.08744955,547.88214,8.45959,3965.0
Puno,Azángaro,2020.0,-70.18986472467881,-14.988390515534217,0.19963627,0.14612916,0.13823234,-0.124899544,566.7449,8.323508,3968.0
Puno,Azángaro,2020.0,-70.2347804888848,-14.763811694504337,0.21020801,0.13279049,0.12469967,-0.19811292,648.8002,7.98188,4204.0
Puno,Azángaro,2020.0,-70.00121851501372,-14.853643222916288,0.18857308,0.11579351,0.10969919,-0.2059759,620.9924,6.8632035,4324.0
Puno,Azángaro,2020.0,-70.18986472467881,-15.123137808152146,0.18858191,0.13178977,0.12654625,-0.056167502,541.9595,8.920724,3878.0
Puno,Azángaro,2020.0,-70.13596580763165,-15.123137808152146,0.28238282,0.19660272,0.18963005,-0.05043597,540.6889,8.708972,3987.0
Puno,Azángaro,2020.0,-69.91138698660177,-15.123137808152146,0.2705985,0.18075547,0.17062768,-0.10513619,619.63806,7.9981313,3979.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.808727458710312,0.22711937,0.1644946,0.15574619,-0.12481858,616.7348,8.041728,4008.0
Puno,Azángaro,2020.0,-70.27969625309076,-14.853643222916288,0.18279426,0.11748821,0.108683586,-0.1269362,621.37994,8.0436535,4005.0
Puno,Azángaro,2020.0,-70.09105004342567,-14.539232873474456,0.3488578,0.2247661,0.21640028,-0.082841665,875.5336,3.635195,4597.0
Puno,Azángaro,2020.0,-70.18088157183762,-14.673980166092385,0.29694185,0.20353341,0.1959759,-0.058112774,725.63904,6.727426,4056.0
